#fermi_surface
#data: ikx,iky, iband,ispin, kFx1,kFy1,kFx2,kFy2, izero, E1,E2,E3,E4
#Beginning
   -3   -2    2    1   -0.5000000000E-01   -0.4432972049E-01   -0.6353507884E-01   -0.2500000000E-01    2   -0.1050155695       -0.1606796843E-01   -0.4639726268E-01    0.5477496091E-01
   -3   -1    2    1   -0.6353507884E-01   -0.2500000000E-01   -0.7013166035E-01     0.000000000        2   -0.4639726268E-01    0.5477496091E-01   -0.2095449770E-01    0.8665147892E-01
   -3    0    2    1   -0.7013166035E-01     0.000000000       -0.6353507884E-01    0.2500000000E-01    2   -0.2095449770E-01    0.8665147892E-01   -0.4639726268E-01    0.5477496091E-01
   -3    1    2    1   -0.6353507884E-01    0.2500000000E-01   -0.5000000000E-01    0.4432972049E-01    2   -0.4639726268E-01    0.5477496091E-01   -0.1050155695       -0.1606796843E-01
   -2   -3    2    1   -0.2500000000E-01   -0.6353507884E-01   -0.4432972049E-01   -0.5000000000E-01    2   -0.1050155695       -0.4639726268E-01   -0.1606796843E-01    0.5477496091E-01
   -2   -2    2    1   -0.4432972049E-01   -0.5000000000E-01   -0.5000000000E-01   -0.4432972049E-01    2   -0.1606796843E-01    0.5477496091E-01    0.5477496091E-01    0.1307281388    
   -2    1    2    1   -0.5000000000E-01    0.4432972049E-01   -0.4432972049E-01    0.5000000000E-01    2    0.5477496091E-01    0.1307281388       -0.1606796843E-01    0.5477496091E-01
   -2    2    2    1   -0.4432972049E-01    0.5000000000E-01   -0.2500000000E-01    0.6353507884E-01    2   -0.1606796843E-01    0.5477496091E-01   -0.1050155695       -0.4639726268E-01
   -1   -3    2    1   -0.2500000000E-01   -0.6353507884E-01     0.000000000       -0.7013166035E-01    2   -0.4639726268E-01   -0.2095449770E-01    0.5477496091E-01    0.8665147892E-01
   -1    2    2    1   -0.2500000000E-01    0.6353507884E-01     0.000000000        0.7013166035E-01    2    0.5477496091E-01    0.8665147892E-01   -0.4639726268E-01   -0.2095449770E-01
    0   -3    2    1     0.000000000       -0.7013166035E-01    0.2500000000E-01   -0.6353507884E-01    2   -0.2095449770E-01   -0.4639726268E-01    0.8665147892E-01    0.5477496091E-01
    0    2    2    1     0.000000000        0.7013166035E-01    0.2500000000E-01    0.6353507884E-01    2    0.8665147892E-01    0.5477496091E-01   -0.2095449770E-01   -0.4639726268E-01
    1   -3    2    1    0.2500000000E-01   -0.6353507884E-01    0.4432972049E-01   -0.5000000000E-01    2   -0.4639726268E-01   -0.1050155695        0.5477496091E-01   -0.1606796843E-01
    1   -2    2    1    0.4432972049E-01   -0.5000000000E-01    0.5000000000E-01   -0.4432972049E-01    2    0.5477496091E-01   -0.1606796843E-01    0.1307281388        0.5477496091E-01
    1    1    2    1    0.5000000000E-01    0.4432972049E-01    0.4432972049E-01    0.5000000000E-01    2    0.1307281388        0.5477496091E-01    0.5477496091E-01   -0.1606796843E-01
    1    2    2    1    0.4432972049E-01    0.5000000000E-01    0.2500000000E-01    0.6353507884E-01    2    0.5477496091E-01   -0.1606796843E-01   -0.4639726268E-01   -0.1050155695    
    2   -2    2    1    0.5000000000E-01   -0.4432972049E-01    0.6353507884E-01   -0.2500000000E-01    2   -0.1606796843E-01   -0.1050155695        0.5477496091E-01   -0.4639726268E-01
    2   -1    2    1    0.6353507884E-01   -0.2500000000E-01    0.7013166035E-01     0.000000000        2    0.5477496091E-01   -0.4639726268E-01    0.8665147892E-01   -0.2095449770E-01
    2    0    2    1    0.7013166035E-01     0.000000000        0.6353507884E-01    0.2500000000E-01    2    0.8665147892E-01   -0.2095449770E-01    0.5477496091E-01   -0.4639726268E-01
    2    1    2    1    0.6353507884E-01    0.2500000000E-01    0.5000000000E-01    0.4432972049E-01    2    0.5477496091E-01   -0.4639726268E-01   -0.1606796843E-01   -0.1050155695    
 
  -20  -16    3    1   -0.5000000000       -0.3876163188       -0.4750000000       -0.3921608120        2    0.2177290683E-01    0.1425312238E-01   -0.2218192855E-01   -0.3120159297E-01
  -20   15    3    1   -0.5000000000        0.3876163188       -0.4750000000        0.3921608120        2   -0.2218192855E-01   -0.3120159297E-01    0.2177290683E-01    0.1425312238E-01
  -19  -17    3    1   -0.4500000000       -0.4053813931       -0.4592063105       -0.4000000000        2    0.4924090714E-01    0.3028903827E-01    0.1425312238E-01   -0.8308297452E-02
  -19  -16    3    1   -0.4592063105       -0.4000000000       -0.4750000000       -0.3921608120        2    0.1425312238E-01   -0.8308297452E-02   -0.3120159297E-01   -0.5815740444E-01
  -19   15    3    1   -0.4750000000        0.3921608120       -0.4592063105        0.4000000000        2   -0.3120159297E-01   -0.5815740444E-01    0.1425312238E-01   -0.8308297452E-02
  -19   16    3    1   -0.4592063105        0.4000000000       -0.4500000000        0.4053813931        2    0.1425312238E-01   -0.8308297452E-02    0.4924090714E-01    0.3028903827E-01
  -18  -18    3    1   -0.4250000000       -0.4261046952       -0.4261046952       -0.4250000000        2    0.5763413660E-01    0.3028903827E-01    0.3028903827E-01   -0.1400281559E-02
  -18  -17    3    1   -0.4261046952       -0.4250000000       -0.4500000000       -0.4053813931        2    0.3028903827E-01   -0.1400281559E-02   -0.8308297452E-02   -0.4582774274E-01
  -18   16    3    1   -0.4500000000        0.4053813931       -0.4261046952        0.4250000000        2   -0.8308297452E-02   -0.4582774274E-01    0.3028903827E-01   -0.1400281559E-02
  -18   17    3    1   -0.4261046952        0.4250000000       -0.4250000000        0.4261046952        2    0.3028903827E-01   -0.1400281559E-02    0.5763413660E-01    0.3028903827E-01
