#fermi_surface
    ? ?    -0.6353507884E-01   -0.2500000000E-01
    ? ?    -0.7013166035E-01     0.000000000    
    ? ?    -0.6353507884E-01    0.2500000000E-01
    ? ?    -0.4432972049E-01   -0.5000000000E-01
    ? ?    -0.5000000000E-01   -0.4432972049E-01
    ? ?    -0.5000000000E-01    0.4432972049E-01
    ? ?    -0.4432972049E-01    0.5000000000E-01
    ? ?    -0.2500000000E-01   -0.6353507884E-01
    ? ?    -0.2500000000E-01    0.6353507884E-01
    ? ?      0.000000000       -0.7013166035E-01
    ? ?      0.000000000        0.7013166035E-01
    ? ?     0.2500000000E-01   -0.6353507884E-01
    ? ?     0.4432972049E-01   -0.5000000000E-01
    ? ?     0.4432972049E-01    0.5000000000E-01
    ? ?     0.2500000000E-01    0.6353507884E-01
    ? ?     0.5000000000E-01   -0.4432972049E-01
    ? ?     0.6353507884E-01   -0.2500000000E-01
    ? ?     0.7013166035E-01     0.000000000    
    ? ?     0.6353507884E-01    0.2500000000E-01
    ? ?     0.5000000000E-01    0.4432972049E-01
    ? ? ? ?    -0.5000000000       -0.3876163188    
    ? ? ? ?    -0.5000000000        0.3876163188    
    ? ? ? ?    -0.4592063105       -0.4000000000    
    ? ? ? ?    -0.4750000000       -0.3921608120    
    ? ? ? ?    -0.4750000000        0.3921608120    
    ? ? ? ?    -0.4592063105        0.4000000000    
    ? ? ? ?    -0.4261046952       -0.4250000000    
    ? ? ? ?    -0.4500000000       -0.4053813931    
    ? ? ? ?    -0.4500000000        0.4053813931    
    ? ? ? ?    -0.4261046952        0.4250000000    
    ? ? ? ?    -0.4053813931       -0.4500000000    
    ? ? ? ?    -0.4250000000       -0.4261046952    
    ? ? ? ?    -0.4250000000        0.4261046952    
    ? ? ? ?    -0.4053813931        0.4500000000    
    ? ? ? ?    -0.3876163188       -0.5000000000    
    ? ? ? ?    -0.3921608120       -0.4750000000    
    ? ? ? ?    -0.4000000000       -0.4592063105    
    ? ? ? ?    -0.4000000000        0.4592063105    
    ? ? ? ?    -0.3921608120        0.4750000000    
    ? ? ? ?    -0.3876163188        0.5000000000    
    ? ? ? ?    -0.1000000000         0.000000000    
    ? ? ? ?    -0.7678693658E-01   -0.7500000000E-01
    ? ? ? ?    -0.9289223255E-01   -0.5000000000E-01
    ? ? ? ?    -0.9897858341E-01   -0.2500000000E-01
    ? ? ? ?    -0.1000000000       -0.1009050725E-09
    ? ? ? ?    -0.1000000000        0.1009050740E-09
    ? ? ? ?    -0.9897858341E-01    0.2500000000E-01
    ? ? ? ?    -0.9289223255E-01    0.5000000000E-01
    ? ? ? ?    -0.7678693658E-01    0.7500000000E-01
    ? ? ? ?    -0.7500000000E-01   -0.7678693658E-01
    ? ? ? ?    -0.7500000000E-01    0.7678693658E-01
    ? ? ? ?    -0.5000000000E-01   -0.9289223255E-01
    ? ? ? ?    -0.5000000000E-01    0.9289223255E-01
    ? ? ? ?    -0.1009109289E-09   -0.1000000000    
    ? ? ? ?    -0.2500000000E-01   -0.9897858341E-01
    ? ? ? ?    -0.2500000000E-01    0.9897858341E-01
    ? ? ? ?    -0.1009128822E-09    0.1000000000    
    ? ? ? ?      0.000000000       -0.1000000000    
    ? ? ? ?     0.1009109286E-09   -0.1000000000    
    ? ? ? ?     0.1009128801E-09    0.1000000000    
    ? ? ? ?      0.000000000        0.1000000000    
    ? ? ? ?     0.2500000000E-01   -0.9897858341E-01
    ? ? ? ?     0.2500000000E-01    0.9897858341E-01
    ? ? ? ?     0.5000000000E-01   -0.9289223255E-01
    ? ? ? ?     0.5000000000E-01    0.9289223255E-01
    ? ? ? ?     0.7500000000E-01   -0.7678693658E-01
    ? ? ? ?     0.7678693658E-01   -0.7500000000E-01
    ? ? ? ?     0.9289223255E-01   -0.5000000000E-01
    ? ? ? ?     0.9897858341E-01   -0.2500000000E-01
    ? ? ? ?     0.9897858341E-01    0.2500000000E-01
    ? ? ? ?     0.9289223255E-01    0.5000000000E-01
    ? ? ? ?     0.7678693658E-01    0.7500000000E-01
    ? ? ? ?     0.7500000000E-01    0.7678693658E-01
    ? ? ? ?     0.1000000000       -0.1009050725E-09
    ? ? ? ?     0.1000000000         0.000000000    
    ? ? ? ?     0.1000000000        0.1009050740E-09
    ? ? ? ?     0.3876163188       -0.5000000000    
    ? ? ? ?     0.3921608120       -0.4750000000    
    ? ? ? ?     0.3921608120        0.4750000000    
    ? ? ? ?     0.3876163188        0.5000000000    
    ? ? ? ?     0.4000000000       -0.4592063105    
    ? ? ? ?     0.4053813931       -0.4500000000    
    ? ? ? ?     0.4053813931        0.4500000000    
    ? ? ? ?     0.4000000000        0.4592063105    
    ? ? ? ?     0.4250000000       -0.4261046952    
    ? ? ? ?     0.4261046952       -0.4250000000    
    ? ? ? ?     0.4261046952        0.4250000000    
    ? ? ? ?     0.4250000000        0.4261046952    
    ? ? ? ?     0.4500000000       -0.4053813931    
    ? ? ? ?     0.4592063105       -0.4000000000    
    ? ? ? ?     0.4592063105        0.4000000000    
    ? ? ? ?     0.4500000000        0.4053813931    
    ? ? ? ?     0.4750000000       -0.3921608120    
    ? ? ? ?     0.4750000000        0.3921608120    
    ? ? ? ?     0.5000000000       -0.3876163188    
    ? ? ? ?     0.5000000000        0.3876163188    
    ? ? ? ? ? ?    -0.5000000000       -0.1036706891    
    ? ? ? ? ? ?    -0.5000000000        0.1036706891    
    ? ? ? ? ? ?    -0.4750000000       -0.1009643301    
    ? ? ? ? ? ?    -0.4720718103       -0.1000000000    
    ? ? ? ? ? ?    -0.4720718103        0.1000000000    
    ? ? ? ? ? ?    -0.4750000000        0.1009643301    
    ? ? ? ? ? ?    -0.4500000000       -0.9146502695E-01
    ? ? ? ? ? ?    -0.4500000000        0.9146502695E-01
    ? ? ? ? ? ?    -0.4250000000       -0.7724883148E-01
    ? ? ? ? ? ?    -0.4225632950       -0.7500000000E-01
