    1   0.000  -0.500  -1.000
    2   0.000  -0.500  -0.750
    3   0.000  -0.500  -0.500
    4   0.000  -0.500  -0.250
    5   0.000  -0.500   0.000
    6   0.000  -0.500   0.250
    7   0.000  -0.500   0.500
    8   0.000  -0.500   0.750
    9   0.000  -0.500   1.000
   10  -0.125  -0.375  -1.000
   11  -0.125  -0.375  -0.750
   12  -0.125  -0.375  -0.500
   13  -0.125  -0.375  -0.250
   14  -0.125  -0.375   0.000
   15  -0.125  -0.375   0.250
   16  -0.125  -0.375   0.500
   17  -0.125  -0.375   0.750
   18  -0.125  -0.375   1.000
   19  -0.250  -0.250  -1.000
   20  -0.250  -0.250  -0.750
   21  -0.250  -0.250  -0.500
   22  -0.250  -0.250  -0.250
   23  -0.250  -0.250   0.000
   24  -0.250  -0.250   0.250
   25  -0.250  -0.250   0.500
   26  -0.250  -0.250   0.750
   27  -0.250  -0.250   1.000
   28  -0.375  -0.125  -1.000
   29  -0.375  -0.125  -0.750
   30  -0.375  -0.125  -0.500
   31  -0.375  -0.125  -0.250
   32  -0.375  -0.125   0.000
   33  -0.375  -0.125   0.250
   34  -0.375  -0.125   0.500
   35  -0.375  -0.125   0.750
   36  -0.375  -0.125   1.000
   37  -0.500   0.000  -1.000
   38  -0.500   0.000  -0.750
   39  -0.500   0.000  -0.500
   40  -0.500   0.000  -0.250
   41  -0.500   0.000   0.000
   42  -0.500   0.000   0.250
   43  -0.500   0.000   0.500
   44  -0.500   0.000   0.750
   45  -0.500   0.000   1.000
   46   0.312  -0.688  -1.000
   47   0.312  -0.688  -0.750
   48   0.312  -0.688  -0.500
   49   0.312  -0.688  -0.250
   50   0.312  -0.688   0.000
   51   0.312  -0.688   0.250
   52   0.312  -0.688   0.500
   53   0.312  -0.688   0.750
   54   0.312  -0.688   1.000
   55   0.188  -0.562  -1.000
   56   0.188  -0.562  -0.750
   57   0.188  -0.562  -0.500
   58   0.188  -0.562  -0.250
   59   0.188  -0.562   0.000
   60   0.188  -0.562   0.250
   61   0.188  -0.562   0.500
   62   0.188  -0.562   0.750
   63   0.188  -0.562   1.000
   64   0.062  -0.438  -1.000
   65   0.062  -0.438  -0.750
   66   0.062  -0.438  -0.500
