    0 0.819
    1 0.819
    2 0.819
    3 0.819
    4 0.819
    5 0.819
    6 0.819
    7 0.819
    8 0.819
    9 0.819
   10 0.889
   11 0.889
   12 0.889
   13 0.889
   14 0.889
   15 0.889
   16 0.889
   17 0.889
   18 0.889
   19 0.889
   20 1.340
   21 1.237
   22 1.141
   23 1.097
   24 1.115
   25 1.117
   26 1.090
   27 1.031
   28 0.946
   29 0.860

    0 0.819
    1 0.819
    2 0.819
    3 0.819
    4 0.819
    5 0.819
    6 0.819
    7 0.819
    8 0.819
    9 0.819
   10 0.889
   11 0.889
   12 0.889
   13 0.889
   14 0.889
   15 0.889
   16 0.889
   17 0.889
   18 0.889
   19 0.889
   20 1.340
   21 1.237
   22 1.141
   23 1.097
   24 1.115
   25 1.117
   26 1.090
   27 1.031
   28 0.946
   29 0.860

    0 0.819
    1 0.819
    2 0.819
    3 0.819
    4 0.819
    5 0.819
    6 0.819
    7 0.819
    8 0.819
    9 0.819
   10 0.889
   11 0.889
   12 0.889
   13 0.889
   14 0.889
   15 0.889
   16 0.889
   17 0.889
   18 0.889
   19 0.889
   20 1.340
   21 1.237
   22 1.141
   23 1.097
   24 1.115
   25 1.117
   26 1.090
   27 1.031
   28 0.946
   29 0.860

    0 0.819
    1 0.819
    2 0.819
    3 0.819
    4 0.819
    5 0.819
    6 0.819
    7 0.819
    8 0.819
    9 0.819
   10 0.889
   11 0.889
   12 0.889
   13 0.889
   14 0.889
   15 0.889
   16 0.889
   17 0.889
   18 0.889
   19 0.889
   20 1.340
   21 1.237
   22 1.141
   23 1.097
   24 1.115
   25 1.117
   26 1.090
   27 1.031
   28 0.946
   29 0.860

    0 0.819
    1 0.819
    2 0.819
    3 0.819
    4 0.819
    5 0.819
    6 0.819
    7 0.819
    8 0.819
    9 0.819
   10 0.889
   11 0.889
   12 0.889
   13 0.889
   14 0.889
   15 0.889
   16 0.889
   17 0.889
   18 0.889
   19 0.889
   20 1.340
   21 1.237
   22 1.141
   23 1.097
   24 1.115
   25 1.117
   26 1.090
   27 1.031
   28 0.946
   29 0.860

    0 0.819
    1 0.819
    2 0.819
    3 0.819
    4 0.819
    5 0.819
    6 0.819
    7 0.819
    8 0.819
    9 0.819
   10 0.889
   11 0.889
   12 0.889
   13 0.889
   14 0.889
   15 0.889
   16 0.889
   17 0.889
   18 0.889
   19 0.889
   20 1.340
   21 1.237
   22 1.141
   23 1.097
   24 1.115
   25 1.117
   26 1.090
   27 1.031
   28 0.946
   29 0.860

    0 0.819
    1 0.819
    2 0.819
    3 0.819
    4 0.819
    5 0.819
    6 0.819
    7 0.819
    8 0.819
    9 0.819
   10 0.889
   11 0.889
   12 0.889
   13 0.889
   14 0.889
   15 0.889
   16 0.889
   17 0.889
   18 0.889
   19 0.889
   20 1.340
   21 1.237
   22 1.141
   23 1.097
   24 1.115
   25 1.117
   26 1.090
   27 1.031
   28 0.946
   29 0.860

    0 0.819
    1 0.819
    2 0.819
    3 0.819
    4 0.819
    5 0.819
    6 0.819
    7 0.819
    8 0.819
    9 0.819
   10 0.889
   11 0.889
   12 0.889
   13 0.889
   14 0.889
   15 0.889
   16 0.889
   17 0.889
   18 0.889
   19 0.889
   20 1.340
   21 1.237
   22 1.141
   23 1.097
   24 1.115
   25 1.117
   26 1.090
   27 1.031
   28 0.946
   29 0.860

    0 0.819
    1 0.819
    2 0.819
    3 0.819
    4 0.819
    5 0.819
    6 0.819
    7 0.819
    8 0.819
    9 0.819
   10 0.889
   11 0.889
   12 0.889
   13 0.889
   14 0.889
   15 0.889
   16 0.889
   17 0.889
   18 0.889
   19 0.889
   20 1.340
   21 1.237
   22 1.141
   23 1.097
   24 1.115
   25 1.117
   26 1.090
   27 1.031
   28 0.946
   29 0.860

    0 0.819
    1 0.819
    2 0.819
    3 0.819
    4 0.819
    5 0.819
    6 0.819
    7 0.819
    8 0.819
    9 0.819
   10 0.889
   11 0.889
   12 0.889
   13 0.889
   14 0.889
   15 0.889
   16 0.889
   17 0.889
   18 0.889
   19 0.889
   20 1.340
   21 1.237
   22 1.141
   23 1.097
   24 1.115
   25 1.117
   26 1.090
   27 1.031
   28 0.946
   29 0.860

